DefectCode,DefectDescription,DeptId,DeptDesc,Excused
100,Soldering,10,Die Cast,0
101,Broken/Bent Pin,10,Die Cast,0
102,Bent Pin,10,Die Cast,1
103,Trim Damage,10,Die Cast,0
104,Flatness/Bent Parts,10,Die Cast,0
105,Breakout (Broken Die),10,Die Cast,0
106,Broken Gate,10,Die Cast,0
107,Test Part,10,Die Cast,0
108,Blisters,10,Die Cast,0
109,Stuck Part/Stuck Piece,10,Die Cast,0
110,Flow Lines,10,Die Cast,0
111,Flash,10,Die Cast,0
112,Short Shot,10,Die Cast,0
113,Broken Post,10,Die Cast,0
114,Pin Size,10,Die Cast,0
115,Computer Reject,10,Die Cast,1
116,Double Shot,10,Die Cast,1
117,Raised/Recessed Ejector Pins,10,Die Cast,0
118,Broken Date Pin,10,Die Cast,0
119,Egg-shaped Hole,10,Die Cast,0
120,Porosity in Gate Area,10,Die Cast,0
121,Cracks,10,Die Cast,0
122,Dimensional (All dimensional except pin size and or depth/height),10,Die Cast,0
123,Galling/Drags,10,Die Cast,0
124,Bad Repair,10,Die Cast,1
125,Drags,10,Die Cast,1
126,Contamination (Grease/Oil),10,Die Cast,0
127,Holes Not Punched,10,Die Cast,0
128,Flaking,10,Die Cast,0
129,Chipped Bolt Pad,10,Die Cast,0
130,Over File,10,Die Cast,0
131,Flash In Bolt Hole,10,Die Cast,0
132,Robot Dropping Parts,10,Die Cast,0
133,Hit Damage/Dent/Scratch/Nick,10,Die Cast,0
134,Discoloration,10,Die Cast,0
135,Porosity,10,Die Cast,0
136,Hard Spot,10,Die Cast,0
137,Failed Leak Test,10,Die Cast,0
138,NCU - Non Clean Up,10,Die Cast,0
139,Surface Void (not including caused by broken gate),10,Die Cast,0
191,Snout Damage,10,Die Cast,0
197,Lamination,10,Die Cast,0
206,Mixed Parts,10,Die Cast,0
210,NG Condition (DC),10,Die Cast,0
214,Computer reject/High Speed,10,Die Cast,0
215,Computer reject/Cycle time,10,Die Cast,0
216,Computer reject/Cast Pressure,10,Die Cast,0
217,Computer reject/Biscuit Size,10,Die Cast,0
218,Computer reject/Rise up time,10,Die Cast,0
219,Computer reject/High Speed Length,10,Die Cast,0
220,Computer reject/Press up time,10,Die Cast,0
221,Computer reject/Low Speed,10,Die Cast,0
222,Telesis,10,Die Cast,0
