ReasonId,ReasonDesc,DeptId,DeptDesc,DeptCode,TypeId,TypeDesc,Excused
1,Scheduled Downtime,10,Die Cast,DC,6,Unscheduled,0
2,Mold Change,10,Die Cast,DC,5,Setup,0
3,Machine Repair,10,Die Cast,DC,1,Equipment,1
4,Mold Repair,10,Die Cast,DC,3,Mold,1
5,Bad Repair,10,Die Cast,DC,3,Mold,1
6,Cam Repair,10,Die Cast,DC,3,Mold,1
7,Sprayer Adjustment,10,Die Cast,DC,1,Equipment,0
8,Sprayer Repair,10,Die Cast,DC,1,Equipment,0
9,Trim Press Adjustment,10,Die Cast,DC,1,Equipment,1
10,Trim Press Repair/Adjustment,10,Die Cast,DC,1,Equipment,0
11,Trim Die Repair,10,Die Cast,DC,3,Mold,0
12,Furnace Trouble,10,Die Cast,DC,1,Equipment,0
13,AK Porter,10,Die Cast,DC,1,Equipment,0
14,Sleeve and Tip,10,Die Cast,DC,1,Equipment,1
15,Die Lube System,10,Die Cast,DC,1,Equipment,0
16,Machine Start-Up/Preheat,10,Die Cast,DC,2,Miscellaneous,0
17,Sample Test Work,10,Die Cast,DC,2,Miscellaneous,1
18,Insert Machine Trouble,10,Die Cast,DC,1,Equipment,1
19,Flash Removal (@ Machine),10,Die Cast,DC,3,Mold,0
20,Machine Adjustment,10,Die Cast,DC,1,Equipment,1
21,Extractor Repair/Adjustment,10,Die Cast,DC,1,Equipment,0
22,Extractor Adjustment,10,Die Cast,DC,1,Equipment,1
23,Auto Ladle Repair,10,Die Cast,DC,1,Equipment,0
24,No Rocker Arm Inserts,10,Die Cast,DC,2,Miscellaneous,1
25,Broken Crane,10,Die Cast,DC,1,Equipment,0
26,No Operator,10,Die Cast,DC,2,Miscellaneous,1
27,Computer Problems,10,Die Cast,DC,1,Equipment,1
28,Conveyor Problems,10,Die Cast,DC,1,Equipment,0
29,Thermo Cast Problems,10,Die Cast,DC,1,Equipment,1
30,N/G Production Time,10,Die Cast,DC,2,Miscellaneous,1
31,No Baskets,10,Die Cast,DC,2,Miscellaneous,1
32,Waiting on Q.C. Approval,10,Die Cast,DC,4,Quality,1
33,Sorting or Repairing Parts,10,Die Cast,DC,4,Quality,1
34,Cooling Tower/Water Pressure,10,Die Cast,DC,2,Miscellaneous,1
35,Power Outage,10,Die Cast,DC,2,Miscellaneous,1
36,Emergency Evacuation/Shutdown,10,Die Cast,DC,2,Miscellaneous,1
37,Solder Removal (@ Machine),10,Die Cast,DC,3,Mold,0
38,Hydraulic Core Trouble,10,Die Cast,DC,3,Mold,1
39,Low Air Pressure,10,Die Cast,DC,1,Equipment,0
40,Gripper Trouble,10,Die Cast,DC,1,Equipment,1
41,Tool Measure,10,Die Cast,DC,1,Equipment,1
42,Robot/Gripper,10,Die Cast,DC,1,Equipment,0
43,Tool Change,10,Die Cast,DC,1,Equipment,1
44,Part Detect Sensors,10,Die Cast,DC,1,Equipment,0
45,Tool Sensor's Not Reading,10,Die Cast,DC,1,Equipment,1
46,Die Table Changeover,10,Die Cast,DC,1,Equipment,1
47,Waiting on Maintenance,10,Die Cast,DC,2,Miscellaneous,1
48,Tool Life Count Up,10,Die Cast,DC,1,Equipment,1
49,Stuck Part,10,Die Cast,DC,1,Equipment,0
50,Waiting for Parts,10,Die Cast,DC,2,Miscellaneous,1
51,Thermal Pictures,10,Die Cast,DC,1,Equipment,1
52,Waiting for Tech/Team Leader,10,Die Cast,DC,,,1
53,Broken Drill,10,Die Cast,DC,,,1
54,Engraver,10,Die Cast,DC,,,0
55,No Parts,10,Die Cast,DC,,,1
56,COP,10,Die Cast,DC,,,1
57,Preventive Maintenance,10,Die Cast,DC,,,1
