ServerName,ServerPid,Direction,AccessPath,OpcItemId
Omni,OmniServer,Write,,59B_1_FP_1.NET_DataReady
Omni,OmniServer,Read,,59B_1_FP_1.NET_NetWeightUOM
Omni,OmniServer,Write,,59B_1_FP_1.NET_NetWeightUOM
Omni,OmniServer,Read,,59B_1_FP_1.NET_NetWeightValue
Omni,OmniServer,Write,,59B_1_FP_1.NET_NetWeightValue
Omni,OmniServer,Read,,59B_1_FP_1.NET_PartNumber
Omni,OmniServer,Read,,59B_1_FP_1.NET_TargetWeightMetFlag
Omni,OmniServer,Write,,59B_1_FP_1.NET_TargetWeightMetFlag
Omni,OmniServer,Write,,59B_1_FP_1.TRG_SendMessage
Omni,OmniServer,Write,,59B_1_FP_1.TRG_TargetWeightUOM
Omni,OmniServer,Write,,59B_1_FP_1.TRG_TargetWeightValue
Omni,OmniServer,Write,,59B_1_FP_1.TRG_ToleranceWeightValue
Omni,OmniServer,Read,,5G0_Front_Scale.NET_DataReady
Omni,OmniServer,Write,,5G0_Front_Scale.NET_DataReady
Omni,OmniServer,Read,,5G0_Front_Scale.NET_NetWeightUOM
Omni,OmniServer,Write,,5G0_Front_Scale.NET_NetWeightUOM
Omni,OmniServer,Read,,5G0_Front_Scale.NET_NetWeightValue
Omni,OmniServer,Write,,5G0_Front_Scale.NET_NetWeightValue
Omni,OmniServer,Read,,5G0_Front_Scale.NET_TargetWeightMetFlag
Omni,OmniServer,Write,,5G0_Front_Scale.NET_TargetWeightMetFlag
Omni,OmniServer,Write,,5G0_Rear_Scale.NET_DataReady
Omni,OmniServer,Read,,5G0_Rear_Scale.NET_NetWeightUOM
Omni,OmniServer,Write,,5G0_Rear_Scale.NET_NetWeightUOM
Omni,OmniServer,Read,,5G0_Rear_Scale.NET_NetWeightValue
Omni,OmniServer,Write,,5G0_Rear_Scale.NET_NetWeightValue
Omni,OmniServer,Read,,5G0_Rear_Scale.NET_TargetWeightMetFlag
Omni,OmniServer,Write,,5G0_Rear_Scale.NET_TargetWeightMetFlag
Omni,OmniServer,Write,,5PA_1_FP_1.NET_DataReady
Omni,OmniServer,Read,,5PA_1_FP_1.NET_NetWeightUOM
Omni,OmniServer,Write,,5PA_1_FP_1.NET_NetWeightUOM
Omni,OmniServer,Read,,5PA_1_FP_1.NET_NetWeightValue
Omni,OmniServer,Write,,5PA_1_FP_1.NET_NetWeightValue
Omni,OmniServer,Read,,5PA_1_FP_1.NET_TargetWeightMetFlag
Omni,OmniServer,Write,,5PA_1_FP_1.NET_TargetWeightMetFlag
Omni,OmniServer,Write,,5PA_1_FP_1.TRG_SendMessage
Omni,OmniServer,Write,,5PA_1_FP_1.TRG_TargetWeightUOM
Omni,OmniServer,Write,,5PA_1_FP_1.TRG_TargetWeightValue
Omni,OmniServer,Write,,5PA_1_FP_1.TRG_ToleranceWeightValue
Omni,OmniServer,Write,,6B2_1_FP_1.NET_DataReady
Omni,OmniServer,Read,,6B2_1_FP_1.NET_NetWeightUOM
Omni,OmniServer,Write,,6B2_1_FP_1.NET_NetWeightUOM
Omni,OmniServer,Read,,6B2_1_FP_1.NET_NetWeightValue
Omni,OmniServer,Write,,6B2_1_FP_1.NET_NetWeightValue
Omni,OmniServer,Read,,6B2_1_FP_1.NET_TargetWeightMetFlag
Omni,OmniServer,Write,,6B2_1_FP_1.NET_TargetWeightMetFlag
Omni,OmniServer,Write,,6B2_1_FP_1.TRG_SendMessage
Omni,OmniServer,Write,,6B2_1_FP_1.TRG_TargetWeightUOM
Omni,OmniServer,Write,,6B2_1_FP_1.TRG_TargetWeightValue
Omni,OmniServer,Write,,6B2_1_FP_1.TRG_ToleranceWeightValue
Omni,OmniServer,Write,,RPY_1_CB_1.NET_DataReady
Omni,OmniServer,Read,,RPY_1_CB_1.NET_NetWeightUOM
Omni,OmniServer,Write,,RPY_1_CB_1.NET_NetWeightUOM
Omni,OmniServer,Read,,RPY_1_CB_1.NET_NetWeightValue
Omni,OmniServer,Write,,RPY_1_CB_1.NET_NetWeightValue
Omni,OmniServer,Read,,RPY_1_CB_1.NET_TargetWeightMetFlag
Omni,OmniServer,Write,,RPY_1_CB_1.NET_TargetWeightMetFlag
Omni,OmniServer,Write,,RPY_1_CB_1.TRG_SendMessage
Omni,OmniServer,Write,,RPY_1_CB_1.TRG_TargetWeightUOM
Omni,OmniServer,Write,,RPY_1_CB_1.TRG_TargetWeightValue
Omni,OmniServer,Write,,RPY_1_CB_1.TRG_ToleranceWeightValue
Omni,OmniServer,Write,,RPY_1_FP_1.NET_DataReady
Omni,OmniServer,Read,,RPY_1_FP_1.NET_NetWeightUOM
Omni,OmniServer,Write,,RPY_1_FP_1.NET_NetWeightUOM
Omni,OmniServer,Read,,RPY_1_FP_1.NET_NetWeightValue
Omni,OmniServer,Write,,RPY_1_FP_1.NET_NetWeightValue
Omni,OmniServer,Read,,RPY_1_FP_1.NET_TargetWeightMetFlag
